show_id,title,type,release_year,duration_minutes,season_count,description,date_added,rating
s1,Dick Johnson Is Dead,Movie,2020,90.0,,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",2021-09-25,PG-13
s2,Blood & Water,TV Show,2021,,2.0,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",2021-09-24,TV-MA
s3,Ganglands,TV Show,2021,,1.0,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",2021-09-24,TV-MA
s4,Jailbirds New Orleans,TV Show,2021,,1.0,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",2021-09-24,TV-MA
s5,Kota Factory,TV Show,2021,,2.0,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",2021-09-24,TV-MA
s6,Midnight Mass,TV Show,2021,,1.0,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",2021-09-24,TV-MA
s7,My Little Pony: A New Generation,Movie,2021,91.0,,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",2021-09-24,PG
s8,Sankofa,Movie,1993,125.0,,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",2021-09-24,TV-MA
s9,The Great British Baking Show,TV Show,2021,,9.0,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",2021-09-24,TV-14
s10,The Starling,Movie,2021,104.0,,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,2021-09-24,PG-13
s11,"Vendetta: Truth, Lies and The Mafia",TV Show,2021,,1.0,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",2021-09-24,TV-MA
s12,Bangkok Breaking,TV Show,2021,,1.0,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",2021-09-23,TV-MA
s13,Je Suis Karl,Movie,2021,127.0,,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",2021-09-23,TV-MA
s14,Confessions of an Invisible Girl,Movie,2021,91.0,,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",2021-09-22,TV-PG
s15,Crime Stories: India Detectives,TV Show,2021,,1.0,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,2021-09-22,TV-MA
s16,Dear White People,TV Show,2021,,4.0,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",2021-09-22,TV-MA
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,2020,67.0,,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",2021-09-22,TV-MA
s18,Falsa identidad,TV Show,2020,,2.0,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,2021-09-22,TV-MA
s19,Intrusion,Movie,2021,94.0,,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",2021-09-22,TV-14
s20,Jaguar,TV Show,2021,,1.0,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",2021-09-22,TV-MA
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021,,1.0,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",2021-09-22,TV-14
s22,Resurrection: Ertugrul,TV Show,2018,,5.0,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",2021-09-22,TV-14
s23,Avvai Shanmughi,Movie,1996,161.0,,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",2021-09-21,TV-PG
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,2021,61.0,,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",2021-09-21,TV-Y
s25,Jeans,Movie,1998,166.0,,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",2021-09-21,TV-14
s26,Love on the Spectrum,TV Show,2021,,2.0,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",2021-09-21,TV-14
s27,Minsara Kanavu,Movie,1997,147.0,,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,2021-09-21,TV-PG
s28,Grown Ups,Movie,2010,103.0,,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",2021-09-20,PG-13
s29,Dark Skies,Movie,2013,97.0,,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",2021-09-19,PG-13
